,Artist,Song Name,GPE,Line,Line Before,Line After
934,Run–D.M.C.,I’ll Be,Queens,"I'm light-skinned, I live in Queens",And after 12th grade I went straight to college,And I love eatin chicken and collard greens
935,Run–D.M.C.,I’ll Be,Hollis,"From Hollis to the Beacon, now your dumb ass is leakin'","Money stay awake, 'cause them other niggas are fake",C.L. and Run D.M.C. so rush it
936,Run–D.M.C.,I’ll Be,swinger,"Down with the kings on the mic, a full swinger",And after twelve grade I went straight to college,"The P to the R, not an R&B singer"
937,Run–D.M.C.,I’ll Be,Mecca,Mecca? (yo) you want the mecca? (yo),Had skins yawning',"I'll make a funky beat so we can blow, check it out"
938,Run–D.M.C.,I’ll Be,Hollis,"The, the Hollis, Hollis crew, crew","One, one, two, two, three, three","For, for, for, for, for the love now"
939,Run–D.M.C.,I’ll Be,Hollis,"The, the Hollis, Hollis crew, crew","One, one, two, two, three, three","For, for, for, for, for the love now"
940,Run–D.M.C.,I’ll Be,Kentucky,"He asked this old lady, ""Yo, yo, um, is this Kentucky Fried?""","He didn\'t walk straight, kind of side-to-side","The lady said ""Yeah"", smiled and he smiled back"
941,Run–D.M.C.,I’ll Be,Queens,"Kings from Queens, from Queens come kings","Talkin\' \'bout my moms? Talkin\' \'bout my moms?3Embed', ""Raising Hell Lyrics[Verse 1: Run-D.M.C.]",We're raisin' hell like a class when the lunch bell rings
942,Run–D.M.C.,I’ll Be,Queens,"Kings from Queens, from Queens come kings","Talkin\' \'bout my moms? Talkin\' \'bout my moms?3Embed', ""Raising Hell Lyrics[Verse 1: Run-D.M.C.]",We're raisin' hell like a class when the lunch bell rings
943,Run–D.M.C.,I’ll Be,the mountain valley,From the mountain valley to the deep blue sea,[Verse 5: D.M.C.],The word is heard as told by D
944,Run–D.M.C.,I’ll Be,US,To be the best DJ in the US of A,His name is Jay and he\'s on his way,
945,Run–D.M.C.,I’ll Be,New York,I bust the most rhymes in New York state (state),"Well my name is DMC, the all-time great (great)","Reporters clock (clock), producers jock (jock)"
946,Chino XL,Wordsmith,P.O.,"My P.O. was p.o.’d, handed me a cup, told me to pee in this",The world could get the penis of this classical-trained pianist,"The linguist musician, my college position’s my intuition"
947,Chino XL,Wordsmith,p.o.’d,"My P.O. was p.o.’d, handed me a cup, told me to pee in this",The world could get the penis of this classical-trained pianist,"The linguist musician, my college position’s my intuition"
948,Chino XL,Wordsmith,Jordan,In a box with Jordan's pops that ass'll never take another breath,"You can hate me, but await me like I'm Magic Johnson's death","Cause, I write the songs like Barry Manilow"
949,Chino XL,Wordsmith,Iconoclismic,"Iconoclismic, twisted without the use of fiber optics",[Chino XL],Knocked his eyeballs out the sockets I got your Adam's Apples in my pockets
950,Chino XL,Wordsmith,Chino,I got Chino's back like a dorsal fin,"Compound fractures fibulas when niggas step, contest the upper torso","Comprehend, we bend men from within"
951,Chino XL,Wordsmith,East Coast,"Yeah, East Coast, West Coast, beeeotch",Yo signify if your crew roll thick,
952,Chino XL,Wordsmith,West Coast,"Yeah, East Coast, West Coast, beeeotch",Yo signify if your crew roll thick,
953,Chino XL,Wordsmith,Jersey,"So check the milk that Jersey made, I turn Autistic children bilingual",[Ras Kass],On parallel bars I create new dismounts like Yurchenko
954,Chino XL,Wordsmith,West coast,"West coast, uhh, East coast, what","Uhh, check it out, uhh","West coast, East coast"
955,Chino XL,Wordsmith,East coast,"West coast, uhh, East coast, what","Uhh, check it out, uhh","West coast, East coast"
956,Chino XL,Wordsmith,West coast,"West coast, East coast","West coast, uhh, East coast, what","West, uhh, East, ahh"
957,Chino XL,Wordsmith,East coast,"West coast, East coast","West coast, uhh, East coast, what","West, uhh, East, ahh"
958,Chino XL,Wordsmith,East,"West, uhh, East, ahh","West coast, East coast","Uhh, that nigga Ras, that nigga Chino"
959,Chino XL,Wordsmith,Chino,"Uhh, that nigga Ras, that nigga Chino","West, uhh, East, ahh","The nigga Bird, yo that shit is large1Embed"", ""Buried In Vocabulary Lyrics[Verse 1: Julius Luciano]"
960,Chino XL,Wordsmith,Mecca,"Rappers pray to me, not in the direction of Mecca",Consider me perfection's successor,"I'm outside the matrix, I'm in the Nebuchadnezzar"
961,Chino XL,Wordsmith,Chino,Every nightmare got a Chino appearance,"Keep talking, motherfucker, I'm killing your parents","Ghetto vampire, no reflection in the mirrors"
962,Chino XL,Wordsmith,Chino,Chino's an animal outside your castle with catapults,Till they hear the evil and they see the chainsaw buzzing,From mass assaults with more soldiers and dogs than any land can hold
963,Chino XL,Wordsmith,Earth,And get it signed by anyone that will ever walk on the face of this Earth,I'll hop in a time machine and petition your birth,"Not Luciferian, stop worrying about this brother Chino"
964,Chino XL,Wordsmith,Puerto Rico,That's unnecessary like fertility drugs in Puerto Rico,"Not Luciferian, stop worrying about this brother Chino",You're now witnessing the RICANstruction experience
965,Chino XL,Wordsmith,Chino,How many niggas pray that Chino is a failure?,But you don\'t know me one album couldn\'t tell ya,Still have lipstick on your back if Suge didn\'t bail ya
966,Chino XL,Wordsmith,LA,Where you from anyway? LA? Oakland? Hoboken?,"Promote this, shirt blood soakin, gettin it open","I\'m God manifested on earth, you out of bounds"
967,Chino XL,Wordsmith,Oakland,Where you from anyway? LA? Oakland? Hoboken?,"Promote this, shirt blood soakin, gettin it open","I\'m God manifested on earth, you out of bounds"
968,Chino XL,Wordsmith,Hoboken,Where you from anyway? LA? Oakland? Hoboken?,"Promote this, shirt blood soakin, gettin it open","I\'m God manifested on earth, you out of bounds"
969,Chino XL,Wordsmith,California,"Niggas is shady, I shed ya California blood and kill Brenda\'s baby",Fuck you and your dope fiend mama,Get around these nuts niggas don\'t play me
970,Chino XL,Wordsmith,New York,Her lesbian lover fucked TJ\'s Hooker on New York Undercover,Starsky and Hutch gangbanged Cagney without Lacey,Call me L.A.P.D. cause I abuse my privledges
971,Chino XL,Wordsmith,Improv,Getting the people hyped like Monday Night at the Improv,"Knowledge my name, I\'m on a different plane like Herve Villachez",Dive in Ricki\'s lake plus I rush like Limbaugh
972,Chino XL,Wordsmith,Ricki\,Dive in Ricki\'s lake plus I rush like Limbaugh,Getting the people hyped like Monday Night at the Improv,"I will detach your limbs, there ain\'t no wins if you test mine"
973,Chino XL,Wordsmith,Bzzz bzzz,"Bzzz bzzz, my shit is fly you can ask anyone","Eat a porcupine, PUH, spit out the needles",I\'m not MTV so I can leave you Dead at 21
974,Chino XL,Wordsmith,U.S.,Invade your mental like U.S. troops invaded Haiti\'s,Fuck friends long as a bitch bends like Mercedes,"Ladies, that are Latin be lovin me more than Desi Arnez but"
975,Chino XL,Wordsmith,Chino,The term Chino,Intense pressure got you feelin like without em you just worthless,Goes synonymous with corpses flipped
976,Chino XL,Wordsmith,Auschwitz,But never celebrated like Hanukkah in Auschwitz,Goes synonymous with corpses flipped,My complex flips
977,Chino XL,Wordsmith,Chino,"Chino the barbarian, that Puerto Rican rhyme slayer",The entire English language got together and it sentenced me to death,You get Slashed like Guns N Rose\'s guitar player
978,Chino XL,Wordsmith,Hell\,"Rhyme contortionist, shot my way out of Hell\'s orphanage","Brain dead I\'ll spit in Morse code, write down what I\'m blinking",Using a slingshot and live scorpions
979,Chino XL,Wordsmith,Cialis,"When I spit, everything is hard like my lungs is on Cialis","I\'m cold as ice, might slip into my madness","Yeah, I ain\'t scared of these newcomers"
980,Chino XL,Wordsmith,Chino,Waiting for the raging Chino to come along,"But you left air in the throne, vacant","I\'m from a place that we\'re never wrong, never calm"
981,Chino XL,Wordsmith,Chino,Even the Incredible Hulk turns into Chino when he gets real mad,"Fuck, my anger is bad",I let flames spray
982,Chino XL,Wordsmith,America,America better invest in its urban environment,With The Smith Corona typewriter the unabomber Ted Kaczynski wrote his manifesto on,Or get demolished like them London riots
983,Chino XL,Wordsmith,London,Or get demolished like them London riots,America better invest in its urban environment,I’m pissing on Arizona immigration laws outside of my vehicle
984,Chino XL,Wordsmith,Arizona,I’m pissing on Arizona immigration laws outside of my vehicle,Or get demolished like them London riots,With Casey Anthony’s severed head hanging from my rear view
985,Chino XL,Wordsmith,Chino,Come witness my venomous threat Chino is deaths’ pet,Sometimes living in hell’s giving the best view of heaven,Born without a heart created straight from Satans’ chemistry set
986,Chino XL,Wordsmith,the Garden of Eden,You’d think I’m starvin\' how hard I’m charging the scenery beautifully how you figure that the Garden of Eden would be,You watchin\' a man that’s standing at the crossroads not a poor soul who’s flow is softer than them Glee episodes [Fuck outta here],Problem with a nigga I say it to they face
987,Chino XL,Wordsmith,Chino,Mind of weaponry from the times of the Byzantines you talking metaphysically but Chino’s metal physically,"You figure I’m a overdose before you even get official word, Amy Winehouse",The epitome of infinity and validity of my divinity half animal activity only monster in captivity
988,Chino XL,Wordsmith,Sicily,Legitimately resurrect any gladiator from Sicily,The epitome of infinity and validity of my divinity half animal activity only monster in captivity,"He won’t pattern or manage to match my intensity mentally, I’m N.I.C.E"
989,Chino XL,Wordsmith,Chino,Viva Latino when Chino do a show,The madness Monastic violence like Pontius Pilate’s bandits given Jesus back whippings and lashes,They’ll be nobody hustlin\' outside of your local Home Depot
990,Chino XL,Wordsmith,Chino,"Chino, my love, although many will come before you, trying to be just like you, there will never be another you.  You’ve traveled so far to get here.  Don’t allow the world to make you forget why our ancestors are with you and will leave you never","I’m N.I.C.E1Embed', 'Nunca Lyrics[Intro: Angel]",
991,Chino XL,Wordsmith,Amistad,"Victimized, plagiarized like Spielberg did Amistad","Some nights, I feel like I’ve been forsaken by God","Unzip like Isaac Mizrahi, he who laughs last laughs"
992,Chino XL,Wordsmith,Iverson,While you’re trying to make all net like Iverson or Jordan,"I’ll shoot out with Bill and Hillary, still won’t run out of artillery","I’m extortin’, trying to make all net like Forbes and make a fortune"
993,Chino XL,Wordsmith,Jordan,While you’re trying to make all net like Iverson or Jordan,"I’ll shoot out with Bill and Hillary, still won’t run out of artillery","I’m extortin’, trying to make all net like Forbes and make a fortune"
994,Chino XL,Wordsmith,Germany,"In Germany.  Internally, my victim hemorrhages eternally until",Catacombs that’ll scatter domes with the pheromones of old bones,The stench of decaying flesh accompany matters in death
995,Chino XL,Wordsmith,Puerto Rico,I’ll make the proudest of all Dominicans swing flags for Puerto Rico,Seminals who try to test testicles of this Taíno’s quotables,And kill any blanco gringo referring to Chino as “chico”
996,Chino XL,Wordsmith,Chino,And kill any blanco gringo referring to Chino as “chico”,I’ll make the proudest of all Dominicans swing flags for Puerto Rico,"By summoning the smoldering, murdering minister that’s mastering mayhem"
997,Chino XL,Wordsmith,Dayton,"Slaying day-out and day-in, outspoken/out-spoke-ing like a Dayton’ rim that","By summoning the smoldering, murdering minister that’s mastering mayhem","Be keeping ‘em staggering through lyrical pattering, traveling through my abdomen"
998,Chino XL,Wordsmith,Vatican,"Unraveling at the speed of a javelin, still repping Vatican","Be keeping ‘em staggering through lyrical pattering, traveling through my abdomen","And invade like Mexican, notify next-of-kin.  Cats I’m invested in"
999,Chino XL,Wordsmith,Chino,"Chino, you bring Phantasm plus U.G. like The Dwellas and been",These niggas couldn’t be stars if they got thrown by Chinese ninjas,"Touched By An Angel like Della.  Me fear y’all niggas?  NeverEmbed', ""Can’t Change Me Lyrics[Verse 1]"
1000,Chino XL,Wordsmith,Hong Kong,I feel like I'm in Hong Kong how they wanna make this Singapore,"She filed for child support, I accused her of being a whore","It's raw lightning, realizing your lady's hole"
1001,Chino XL,Wordsmith,Singapore,I feel like I'm in Hong Kong how they wanna make this Singapore,"She filed for child support, I accused her of being a whore","It's raw lightning, realizing your lady's hole"
1002,Chino XL,Wordsmith,Earth,Now I feel like kicking you to the curb and kicking the whole curb off the Earth,Yeah I cheated first but you cheated worse,"He's sick of her, she's sick of him, it's sickening"
1003,Chino XL,Wordsmith,Chino,"Chino’s ill, slap off your cosmetics",[Verse 2: Chino XL],I arm myself like a veteran putting on prosthetics
1004,Chino XL,Wordsmith,Philippines,Jack and Tech my dawgs like Andrés in the Philippines,Beat you with your Blackberry till there's barely a screen left,"My mistress is villainy, rape and pillage ‘em lyrically"
1005,Chino XL,Wordsmith,Chino,Who gives a fuck who’s the greatest rapper alive as-long as Chino’s the illest!,My symphony's sinfully biblically loved by killers,[Hook 1]
1006,Chino XL,Wordsmith,Rikers Island,You'll get your face slashed like a Rikers Island reminder,I’ll throw my commandments down on your platinum calf,Behind ya snipers will find ya whether you run to China
1007,Chino XL,Wordsmith,China,Behind ya snipers will find ya whether you run to China,You'll get your face slashed like a Rikers Island reminder,"Or try to crawl the fuck back in your mother's vagina, (bitch!)"
1008,Chino XL,Wordsmith,New West,"Sick Side or New West, my minds on chronic and fess",I walk around like I've got an S on my chest,"God in the flesh, Bambaataa knew best"
1009,Chino XL,Wordsmith,Chino,Chino is careless spitting on that lyrical shit,Like it's Father's Day and you Omarion's dad,Angry like KRS when he found out Scott La Rock was dead
1010,Chino XL,Wordsmith,Scott La Rock,Angry like KRS when he found out Scott La Rock was dead,Chino is careless spitting on that lyrical shit,"I'm fearless, I'd rather enlist in a war"
1011,Chino XL,Wordsmith,Canada,I fly to Canada to ask Cline Dion why the long face,I was born mean it ain't even a case,The rap game want me to vanish without a trace bitches
1012,Chino XL,Wordsmith,Folsom,Lock me down in a basement of Folsom,I stack their bodies up like Thanksgiving Day dishes,With just a pen and notebook believe me I would exist all by my lonesome
1013,Chino XL,Wordsmith,Earth,Stronger mastery of words than the Earth had intended,Will rival the Bible's religion or Chris Benoit tripping,Ill as lesbian stripping leaving their children unattended
1014,Chino XL,Wordsmith,North Carolina,Or say you wanna fight but then they first in flight like North Carolina,Claiming you thorough but don't want no drama,You living off one rhyme than people consider good
1015,Chino XL,Wordsmith,Beverly Hills,You gave me chills till your mind went Beverly Hills,I'm throwing you off the deep end you better pray shit floats,"Make cleverly deals, and now you think you Brooke Shields"
1016,Chino XL,Wordsmith,Jerusalem,Making me feel like Joseph and Mary's hoein' in Jerusalem,I'm crazy yo forever goin' farther than just screwin' em,Abusin' em is how they wanna be treated they nosy too
1017,Chino XL,Wordsmith,Chino,"Catch a breather, Chino do you even need her",Catch amnesia it's enough to make me catch a seizure,"Should I take the three-eighty, assassinate her like Selena"
1018,Chino XL,Wordsmith,Us,Us growing old together is what I envision,"No Love Connection channel five, no Chuck Woolery","You dealing with him, but let's not make no haste decision"
1019,Lauryn Hill,Doo Wop (That Thing),Philly,"Let it sit inside your head like a million women in Philly, Penn",Don't think I haven't been through the same predicament,It's silly when girls sell their souls because it's in
1020,Lauryn Hill,Doo Wop (That Thing),Zion!,"Is in Zion! (Zion, uhh, Zion!)",Now the joy of my world,[Verse 2]
1021,Lauryn Hill,Doo Wop (That Thing),Zion,Is in Zion (Is in Zion),Of my world (World),Is in Zion (Is in Zion)
1022,Lauryn Hill,Doo Wop (That Thing),Zion,Is in Zion (Is in Zion),Is in Zion (Is in Zion),Now the joy (Joy)
1023,Lauryn Hill,Doo Wop (That Thing),Zion,"Is in Zion (Is in Zion, is in Zion)",Of my world (World),Now the joy (Joy)
1024,Lauryn Hill,Doo Wop (That Thing),Zion,"Is in Zion (Is in Zion, is in Zion)",Of my world (World),Now the joy (Joy)
1025,Lauryn Hill,Doo Wop (That Thing),Zion,"Is in Zion (Is in Zion, is in Zion)",Of my world (World),Now the joy (Joy)
1026,Lauryn Hill,Doo Wop (That Thing),Zion,"Is in Zion (Is in Zion, is in Zion)",Of my world (World),Now the joy (Joy)
1027,Lauryn Hill,Doo Wop (That Thing),Zion,"Is in Zion (Is in Zion, is in Zion)",Of my world (World),[Outro]
1028,Lauryn Hill,Doo Wop (That Thing),Zion,"Is in Zion (Is in Zion, is in Zion)",Of my world (World),[Outro]
1029,Lauryn Hill,Doo Wop (That Thing),Zion,"Marching, marching, marching, marching (It is in Zion)","To Zion, marching, beautiful, beautiful, Zion (Of my life)","To Zion, marching, marching, marching (Zion)"
1030,Lauryn Hill,Doo Wop (That Thing),"Zion, Zion","Marching, beautiful, beautiful Zion (Is in Zion, Zion)","To Zion, marching, beautiful, beautiful, Zion (You\'re the joy of my life)","Marching, beautiful, beautiful Zion (It is in Zion)"
1031,Lauryn Hill,Doo Wop (That Thing),Zion,"Marching, beautiful, beautiful Zion (It is in Zion)","Marching, beautiful, beautiful Zion (Is in Zion, Zion)","Marching, beautiful, beautiful Zion"
1032,Lauryn Hill,Doo Wop (That Thing),Kingston,I know all the tricks from Bricks to Kingston,Everything you did has already been done,My ting done made your kingdom wan\' run
1033,Lauryn Hill,Doo Wop (That Thing),Shatan,The chain of Shatan wasn\'t made that strong,You can\'t hold God\'s people back that long,Trying to pretend like your word is your bond
1034,Lauryn Hill,Doo Wop (That Thing),There\,There\'s nothing else to compare,Pardon the way that I stare (the way that I stare),The sight of you leaves me weak
1035,Lauryn Hill,Doo Wop (That Thing),Earth,And knowledge on Earth,Now I may have wisdom (I may have wisdom),"But if I speak wrong, ooh, then what is it worth? (What is it worth?)"
1036,Lauryn Hill,Doo Wop (That Thing),Abyssinian,"Beat drum, Abyssinian, street Baptist (Word)",Our philosophy possibly speak tongues,"Rap this in fine linen, from the beginning (Word)"
1037,Lauryn Hill,Doo Wop (That Thing),El Shabazz,My rhymes is heavy like the mind of sister Betty (El Shabazz!),MCs ain't ready to take it to the Serengeti,L-Boogie spars with stars and constellations (What?)
1038,Lauryn Hill,Doo Wop (That Thing),earth,"Faxing the first, angelic being cast to the earth","Under the curse, evil men waxing more worse","It\'s time for rebirth, burnin up the branch and the root"
1039,Lauryn Hill,Doo Wop (That Thing),Soweto,"March through these streets like Soweto, uhh",Why black people always be the ones to settle?,[Bridge: Lauryn Hill]
1040,Lauryn Hill,Doo Wop (That Thing),New-Ark,People feel Lauryn Hill from New-Ark to Israel,Rock Hard like granite or steel,"And this is real, so I keep makin' the street's ballads"
1041,Lauryn Hill,Doo Wop (That Thing),Israel,People feel Lauryn Hill from New-Ark to Israel,Rock Hard like granite or steel,"And this is real, so I keep makin' the street's ballads"
1042,Lauryn Hill,Doo Wop (That Thing),Palestine,But when it comes down to ground beef like Palestine,Pay no mind party like it's 1999,"Say your rhymes, let's see if that get you out your bind"
1043,Afrika Bambaataa,Doo Wop (That Thing),Ya'll,Ya'll just get up and dance,[Chorus],You got to get up and dance
1044,Afrika Bambaataa,Doo Wop (That Thing),Ya'll,Ya'll just get up and dance,You got to get up and dance,Yeah
1045,Afrika Bambaataa,Doo Wop (That Thing),Ya'll,Ya'll just get up and dance,Yeah,You got to get up and dance
1046,Afrika Bambaataa,Doo Wop (That Thing),Ya'll,Ya'll just get up and dance,You got to get up and dance,Yeah
1047,Afrika Bambaataa,Doo Wop (That Thing),kaboom,"World destruction, kaboom, kaboom, kaboom!",We are Time Zone. We've come to drop a bomb on you,Iæ?¦ going out of my mind \x7fthat makes two of us-Iæ?¦ going out of my mind
1048,Afrika Bambaataa,Doo Wop (That Thing),kaboom,"World destruction, kaboom, kaboom, kaboom!",We are Time Zone. We've come to drop a bomb on you,Iæ?¦ going out of my mind \x7fthat makes two of us-Iæ?¦ going out of my mind
1049,Afrika Bambaataa,Doo Wop (That Thing),kaboom,"World destruction, kaboom, kaboom, kaboom!",We are Time Zone. We've come to drop a bomb on you,Iæ?¦ going out of my mind \x7fthat makes two of us-Iæ?¦ going out of my mind
1050,Afrika Bambaataa,Doo Wop (That Thing),Africa,Feel the rhythm of the Africa Bambaataa,"Speak about destruction (x1)Embed"", ""Afrika shox LyricsAfrica Bambaataa",Are you ready for the new age?
1051,Afrika Bambaataa,Doo Wop (That Thing),Africa,"Pump it, rockin' it, stickin' it, funkin' it Africa","Let's get electrified, let's get electrified","Pump it, rockin' it, stickin' it, funkin' it Zulu Nation"
1052,Afrika Bambaataa,Doo Wop (That Thing),Zulu,Z.U.L.U that's the way we say Zulu,"Pump it, rockin' it, stickin' it, funkin' it Zulu Nation",Z.U.L.U that's the way we say Zulu
1053,Afrika Bambaataa,Doo Wop (That Thing),Zulu,Z.U.L.U that's the way we say Zulu,Z.U.L.U that's the way we say Zulu,"Zulu Nation, cities of angels"
1054,Afrika Bambaataa,Doo Wop (That Thing),Africa,Africa Bambaataa Zulu Nation,"Zulu Nation, cities of angels","Electro funk, electro funk"
1055,Afrika Bambaataa,Doo Wop (That Thing),Africa,We want your funk Africa,Electro funk future shock,We want your funk
1056,Afrika Bambaataa,Doo Wop (That Thing),Zulu,Time to clear the floor and let the Zulu's rock,Electro get going and the funk don't stop,[Incomprehensible]
1057,Afrika Bambaataa,Doo Wop (That Thing),Zulu,Z.U.L.U that's the way you say Zulu,The future's gonna rock say what,"Z.U.L.U that's the way you say ZuluEmbed"", ""Metal LyricsWe're in the building"
1058,Afrika Bambaataa,Doo Wop (That Thing),Bam,Bam....baataa... Bambaataa.. sure shot...,Easy... [?] rock on....,Jazzy...Jay...
1059,Afrika Bambaataa,Doo Wop (That Thing),Sha Rock,Sha Rock...,Funky...Four...Plus...One More...,"Check it outEmbed""]"
1060,U-God,Wu-Tang,Park Hill,"Po-po be hopping out of passenger vans, harassing niggas in Park Hill",Just like a fiend who took a package and ran,"For marked bills, ratchets and grams"
1061,U-God,Wu-Tang,Hyatt,"Take a leap from the Hyatt, and walk home bloody from a riot",I precede the aftermath of an acid bath,And still stay chubby on a diet
1062,U-God,Wu-Tang,Michigan,"Chicken in Michigan, get ya head crushed with a Michelin",And still stay chubby on a diet,"It's obvious, the God ain't settling"
1063,U-God,Wu-Tang,Beverly,"I'm bringing back the revelry, I had with Beverly",Ever since Killah Priest was ordained,And half of you corn niggas is greener than celery
1064,U-God,Wu-Tang,Asia,"Killer whale tale inhale, black male from Asia","Down slope, elegant as Fantasia","All out the wood works, hood shirts and wizards"
1065,U-God,Wu-Tang,Gotham City,"The diabolic witty, dialect's darker than Gotham City",[Verse 2: Letha Face],With the possibility to stop your walkin ability
1066,U-God,Wu-Tang,Mars,Been busting satellites circling Mars,"I spit bars, traveling tremendous speed measuring far","Verbal onslaught, bring forth physical force"
1067,U-God,Wu-Tang,Mars,"This world is bizarre, not bein' far from Mars","God, it varies, Halle Berry, stars eatin' hard cherries","Galaxy hoppin', non-stoppin' the sun rays"
1068,U-God,Wu-Tang,Brooklyn Beirut,"Brooklyn Beirut, raised in fatigues and boots",Stop the growth of the young flowers from going to Howard,"Blue-printin' who we hittin', and we need to shoot"
1069,U-God,Wu-Tang,Clinton,"And didn't have no love, but a grudge against Clinton","No description, all though it was dark, an Egyptian",
1070,U-God,Wu-Tang,Flusty,"Flusty, lookin' out of dusty old window pane","Over horizon, recognize him, it's candy rain","With nothin' to lose, but everythin' to gain"
1071,U-God,Wu-Tang,El Barrio,Wild like the latin boys down in El Barrio,Did a lot of dirt but never would say sorry though,Crook on the juxt then you better do your cardio
1072,U-God,Wu-Tang,Rikers,I was in Rikers when you was in diapers,I live to [?] with the concrete carpet,Run the guards from the circle and created a cypher
1073,U-God,Wu-Tang,Belize,"Driving off the road Narco style, they caught me in Belize",New Bentayga with 50 keys,"Fingerprints burned, Asics on"
1074,U-God,Wu-Tang,Seville,Toil your girl in your Cadillac Seville chill,The body countin' rhyme drop put it on kill now,Golden arch stolen heart no I'm robbin' fed
1075,U-God,Wu-Tang,San Quentin,The Gods got it locked like up on Main in San Quentin,"We ain't tripping, read the sentence","You drinking muscle milk, homey, you gon' get killed"
1076,U-God,Wu-Tang,Philly,"I dribbled in Philly, doubled down in Vegas",[Verse 1: Jackpot Scotty Wotty],"Tripled off a nickel, down in Talladega"
1077,U-God,Wu-Tang,Vegas,"I dribbled in Philly, doubled down in Vegas",[Verse 1: Jackpot Scotty Wotty],"Tripled off a nickel, down in Talladega"
1078,U-God,Wu-Tang,Talladega,"Tripled off a nickel, down in Talladega","I dribbled in Philly, doubled down in Vegas","Tipped the oath, blood, money and smoke"
1079,U-God,Wu-Tang,Maldives,At the Maldives island watch the landing gear drop,And we always up to something when the temperature's hot,
1080,U-God,Wu-Tang,Mt. Everest,"And shine light on the world in the form of artEmbed"", 'Mt. Everest Lyrics[Verse 1: Inspectah Deck]",Then came the spark and we begin to rhyme,I make \'em nod like ketamine
1081,U-God,Wu-Tang,Mount Everest,"Money I can\'t count, I blacked out standing on Mount Everest","I want leverage, ice cold beverage","Life lessons, the cover of essence"
1082,U-God,Wu-Tang,South,My family still down South,"Warning, watch your foul mouth",Deadly at the melody that bangs your head so heavenly
1083,U-God,Wu-Tang,New York,"My New York shit, it get cold-heart like a frost-bit titty","In enormous city, no feelings, no pity","Known to be gritty, that New York fitty"
1084,U-God,Wu-Tang,New York,"Known to be gritty, that New York fitty","My New York shit, it get cold-heart like a frost-bit titty","Any city in raps, witty unpredictable game, game, game"
1085,U-God,Wu-Tang,Park Hill,"Park Hill, Milly Rock show them that fuck shit",Wu-Tang Killa Bees nothing to fuck with,Hood villains and we still bringing the ruckus
1086,U-God,Wu-Tang,Park Hill,"Park Hill, Milly Rock show them that fuck shit",Wu-Tang Killa Bees nothing to fuck with,Hood villains and we still bringing the ruckus
1087,U-God,Wu-Tang,Cape,Cape in the wind like the John Woo flicks,"Beat up the beat, overload rap treat mix","Now, take the spirit, crash more clearer"
1088,U-God,Wu-Tang,Earth,Golden Arms yours truly to restore the Earth's beauty,From the pitch black city with the long link furs,"Grant me a beast, now kill me with the jury"
1089,Das EFX,They Want EFX,Brooklyn,"The boogedy-woogedly Brooklyn boy's about to get his, dig","Drats and double drats, I smiggedy-smacked some whiz kids",My waist bone's connected to my hip bone
1090,Das EFX,They Want EFX,Waco,"I burn ya like Waco, you need more than Maaco","Well I connect my rhymes like Lego, so l'eggo my Eggo",I take it to ya crew and keep 'em moving like I'm U-Haul
1091,Das EFX,They Want EFX,Bangladesh,I friggedy-freak it from here to Bangladesh,"Banana split, hack-thoo, spit! So sit!",I'm riggedy-rippin' flesh plus I get fresh like this
1092,Das EFX,They Want EFX,Brooklyn,"I'm freaking the track from Brooklyn, yo, cause Brooklyn's where I'm from","I piggedy-pack steel, I got a big gun",
1093,Das EFX,They Want EFX,Brooklyn,"I'm freaking the track from Brooklyn, yo, cause Brooklyn's where I'm from","I piggedy-pack steel, I got a big gun",
1094,Das EFX,They Want EFX,mayday,"Yo Stella, here kiggedy-comes the bumrush, mayday!",I might can even act; Stella - who? Stella - who?,"No static, I niggedy-knows more kids than umm, Bebe"
1095,Das EFX,They Want EFX,Attica,I'm mad at the system like them niggas up in Attica,"Abara-cadabara, return of the punk MC batterer",From more ways and your ways I rip shit like dat
1096,Das EFX,They Want EFX,East Coast Lyrics[Hook,"It\'s gonna get brighter5Embed', ""East Coast Lyrics[Hook]","Look forward, son",(Now I'm gonna show you how the East Coast rocks)
1097,Das EFX,They Want EFX,the East Coast,(Now I'm gonna show you how the East Coast rocks),"It\'s gonna get brighter5Embed', ""East Coast Lyrics[Hook]",(Make em make em make em clap to this)
1098,Das EFX,They Want EFX,the East Coast,(Now I'm gonna show you how the East Coast rocks),"(It's like that y'all, you don't stop)",(Make em make em make em clap to this)
1099,Das EFX,They Want EFX,the East Coast,(Now I'm gonna show you how the East Coast rocks),"(It's like that y'all, you don't stop)",(Make em make em make em clap to this)
1100,Das EFX,They Want EFX,the East Coast,(Now I'm gonna show you how the East Coast rocks),"(It's like that y'all, you don't stop)",(MC's are jumpin out of shoes and socks)
1101,Das EFX,They Want EFX,Dundee,"Check the real wild, my ill style gets Crocodile like Dundee",I giggity-gots the rhymes like Ronald Reagan got the wrinkles,"I fliggity-flap the skits, so save the {shit} for Peggy Bundy"
1102,Das EFX,They Want EFX,West,"Yes, I rips up the West, I'm the best, I'm no joke, 'hon","Silly creep, I leap a rapper with a single bound",I won the {shit} quick and freak the backstroke
1103,Das EFX,They Want EFX,the East Coast,"Aw {shit}, I'm swingin' in from the East Coast, jerk",I giggity-gots more stiggity-styles than Moby got Dick,"I don't surf, but got more props than Pop Smurf (Who?)"
