,Artist,Song Name,GPE,Line,Line Before,Line After
47,French Montana,Unforgettable,Los,"I told French, I told Los, I get good head while I\'m chauffeured",[Verse 4: Red Cafe],"Momma told me, ""get a nice girl with a good head on her shoulders"""
48,French Montana,Unforgettable,Montana,[Chorus: French Montana],And her first choice was the number one boss,I see you niggas from the side watchin\'
49,French Montana,Unforgettable,Montana,Ha Ha Ha Ha Ha Ha!!! Montana!!!,"King Combs, now give me crown, bitch30Embed', ""Freaks Lyrics[Intro: Nicki Minaj]",
50,French Montana,Unforgettable,Montana,"[Chorus: Vicious, Nicki Minaj, French Montana]",,"Freak, some gyal a freak a di week, some gyal a -"
51,French Montana,Unforgettable,MONTANA,(MONTANA!!!),"Freak, some gyal a freak a di week, some gyal a - (Turn the lights on)",
52,French Montana,Unforgettable,Montana,[Verse 1: French Montana],,"Lights up the fire, you know we get higher"
53,French Montana,Unforgettable,Minnesota,"Riding with the wolves, I ain't talkin Minnesota","I throw a hundred racks up, you think I hit the lotto","Shorty coming over, go and bend it over"
54,French Montana,Unforgettable,Montana,"Heard you a freak (haan), put my name on it (Montana, haan)","Let me plank on it, put a drink on it",[Chorus: Vicious]
55,French Montana,Unforgettable,haan,"Heard you a freak (haan), put my name on it (Montana, haan)","Let me plank on it, put a drink on it",[Chorus: Vicious]
56,French Montana,Unforgettable,Montana,[Bridge: French Montana & Nicki Minaj],,"This girl tell me, say she horny"
57,French Montana,Unforgettable,mi casa,"Passa Passa, you ain't got no wins in mi casa",He looked me in my eyes and said he wanna breed it,Big fat pussy; Mufasa
58,French Montana,Unforgettable,gaza,"Some of them say them gully, some of them say them gaza, waa","Hit up Green Acres, hit up Kings Plaza",[Chorus: Vicious & Nicki Minaj]
59,French Montana,Unforgettable,Montana,[Bridge: French Montana],,"This girl tell me, say she horny"
60,French Montana,Unforgettable,Montana,[Bridge 3: French Montana],,Where my bad bitches at?
61,French Montana,Unforgettable,Montana,[Bridge: French Montana],,"This girl tell me, say she horny"
62,French Montana,Unforgettable,Montana,[Outro: Nicki Minaj & French Montana],,"Young Money, I don't even say my name anymore, playnigga"
63,French Montana,Unforgettable,South,I came through South side Jamaica Queen bitch,"I come through like, I mean no Nicki",And everyboody know you are on my dick
64,French Montana,Unforgettable,Jamaica,I came through South side Jamaica Queen bitch,"I come through like, I mean no Nicki",And everyboody know you are on my dick
65,French Montana,Unforgettable,Montana,"Ha Ha Ha Ha Ha Ha, Montana",And everyboody know you are on my dick,"Haaaaan20Embed"", 'Famous Lyrics[Verse 1]"
66,French Montana,Unforgettable,Montana,[Verse 2: French Montana],"When they love me, I get money, I get money, I get money, oh","I be gifted when I'm faded (Ha), faded all the time"
67,French Montana,Unforgettable,L.A.,"Hawk vision, L.A. heels right on Puff Terrace","That's like pissin' in a freezer, trying to make canaries","Making wishes, now I'm French kissing your bitch in Paris (Paris!)"
68,French Montana,Unforgettable,Paris,"Making wishes, now I'm French kissing your bitch in Paris (Paris!)","Hawk vision, L.A. heels right on Puff Terrace","Come and find me, Da Gianni's, that's from '92"
69,French Montana,Unforgettable,Paris,"Making wishes, now I'm French kissing your bitch in Paris (Paris!)","Hawk vision, L.A. heels right on Puff Terrace","Come and find me, Da Gianni's, that's from '92"
70,French Montana,Unforgettable,Montana,[Verse 3: French Montana],"When they love me, I get money, I get money, I get money, oh","Ayy, Tony Montana on his last batch (Last batch)"
71,French Montana,Unforgettable,Montana,[Verse 1: French Montana],,"Told that bitch take your shoes off, look don\'t even argue"
72,French Montana,Unforgettable,Montana,[Verse 1: French Montana],"Got a hunnid bad bitches, feel like","Feelin\' like golden, sippin\' and drinkin\', I\'m feelin\' like Kobe"
73,French Montana,Unforgettable,Morocco,That nigga from Morocco!,You son of a bitch!,As-salamu alaykum
74,French Montana,Unforgettable,Montana,"Hit it!43Embed', 'Writing on the Wall Lyrics[Intro: French Montana, Post Malone & Cardi B]",They gon smoke that shit like a blunt of dust,Montana
75,French Montana,Unforgettable,Montana,Montana,"Hit it!43Embed', 'Writing on the Wall Lyrics[Intro: French Montana, Post Malone & Cardi B]",Posty (Hahaha)
76,French Montana,Unforgettable,Montana,[Verse 1: French Montana],,"From the block, now we\'re snipin\' on the opps like Somalians (Uh-huh)"
77,French Montana,Unforgettable,Montana,"We\'re the stars like the network (Work, Montana)","Neck work, then the leg work (Work)",[Chorus: Post Malone]
78,French Montana,Unforgettable,Montana,[Verse 3: Cardi B & French Montana],,"All the millions make \'em horny, Montana"
79,French Montana,Unforgettable,Montana,"All the millions make \'em horny, Montana",[Verse 3: Cardi B & French Montana],"Cardi, we the hottest out the South Bronx, yeah"
80,French Montana,Unforgettable,the South Bronx,"Cardi, we the hottest out the South Bronx, yeah","All the millions make \'em horny, Montana","Made me holla\' for a dollar, got my makeup on your collar"
81,French Montana,Unforgettable,Montana,[Hook: Jeremih & French Montana],,Got a good thing goin\' with a bad bitch
82,French Montana,Unforgettable,Paris,"Said, ""French, take me to Paris""","God damn, fell in love with a bad bitch",Dominican mami from Cali
83,French Montana,Unforgettable,Cali,Dominican mami from Cali,"Said, ""French, take me to Paris""","I said, ""Gon\' bend it over, let me grab it"""
84,French Montana,Unforgettable,Montana,[Hook: Jeremih & French Montana],,Got a good thing goin\' with a bad bitch
85,French Montana,Unforgettable,Montana,"Treat her like my whip, I put some shoes on her, yeah43Embed', 'A Lie Lyrics[Intro: Max B & French Montana]",Don\'t mind spendin\' this loot on it (Yeah),"Uh, Boss Don shit"
86,French Montana,Unforgettable,Montana,"Montana, ow",Thought I\'d have a little fun with it,You know what it is when you hear that haaaaan
87,French Montana,Unforgettable,ow,"Montana, ow",Thought I\'d have a little fun with it,You know what it is when you hear that haaaaan
88,French Montana,Unforgettable,Montana,[Chorus: The Weeknd & French Montana],"My heart cold but it really beat for you, though","Ooh, he do it better, that\'s a lie (that\'s a lie, yeah)"
