,Artist,Song Name,release date,GPE,Line,Line Before,Line After,polarity,pos,neg,neu,compound
1234,A Tribe Called Quest,Award Tour,1998-09-29,New York,"New York, NJ, NC, VA",Going each and every place with the mic in their hand,"We on a world tour with Muhammad, my man","{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.4939}",0.242,0.0,0.758,0.4939
1242,A Tribe Called Quest,Award Tour,1998-09-29,Brooklyn,I\'m taking it to Brooklyn side,"But now, let me take it to the Queens side",All the residential Questers who invade the air,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1263,A Tribe Called Quest,Award Tour,1998-09-29,New York,"New York, NJ, NC, VA",Going each and every place with the mic in their hand,,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.4939}",0.242,0.0,0.758,0.4939
1351,A Tribe Called Quest,Butter,1992-01-01,America,"Believe it or not, that is the sound of an invasion. Yes, that is the sound created by the musical invasion of America by the world\'s hottest recording group: A Tribe Called Quest",,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0
1365,A Tribe Called Quest,Clap Your Hands,1990-01-01,Brooklyn,"Like um, Ralph Malph to Potsie, Brooklyn to Dodger","Peace to all the Questers, to hell with the groupies","Laverne to Shirley, Rerun to Roger","{'neg': 0.286, 'neu': 0.497, 'pos': 0.217, 'compound': -0.2732}",0.217,0.286,0.497,-0.2732
1367,A Tribe Called Quest,Clap Your Hands,1990-01-01,Jersey,I can feel ya out from Russia to Jersey,The Abstract intuition is very very worthy,"Can\'t understand the underground, it gets deep","{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.5379}",0.367,0.0,0.633,0.5379
1385,A Tribe Called Quest,Dis Generation,2006-03-15,NYC,I be in NYC waiting for that law to pass,Imbibing on impeccable grass,"(Pass shit, been waiting for a Jet's title since last","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1387,A Tribe Called Quest,Electric Relaxation,1991-09-24,New York,A gritty little something on the New York street,But I\'m above the rim and this is how I ball,This is how I represent over this here beat,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1403,A Tribe Called Quest,Give Me,,Queensbridge,While my Queensbridge people stay roughing you up,Keep my Southside niggas just playing the cut,"East Elmhurst, Corona, Ayatollah","{'neg': 0.398, 'neu': 0.442, 'pos': 0.159, 'compound': -0.4019}",0.159,0.398,0.442,-0.4019
1414,A Tribe Called Quest,His Name is Mutty Ranks,1993-11-09,New York,"From New York to ATLiens, youknowhatI'msayin?","Yeah yeah, yeah yeah, yeah yeah, how you be, how you be?","Word up, do it like this","{'neg': 0.0, 'neu': 0.312, 'pos': 0.688, 'compound': 0.8807}",0.688,0.0,0.312,0.8807
1417,Kurtis Blow,His Name is Mutty Ranks,1993-11-09,New York,New York is a crazy city man,The city with the 8 and six big O\'s,"Word, skyscrapers, everything","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1421,Kurtis Blow,AJ Meets Davy DMX,1985-01-01,Bronx,One's from Hollis and one's from the Bronx,Now who's the crew that gets the job done?,Freaky fresh to give you what you want,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1424,Kurtis Blow,AJ Scratch,1985-01-01,Bronx,"Up in the Bronx, where the people are fresh",[Verse 1: Kurtis Blow],There was one DJ who had to pass the test,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1429,Kurtis Blow,AJ Scratch,1985-01-01,Bronx,"Up in the Bronx, where the people are fresh",[Verse 3: Kurtis Blow],There was one DJ who had to pass the test,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1430,Kurtis Blow,All I Want in This World (Is to Find That Girl),1984-01-01,New York,From New York to California,Tryin' to find someone,On a journey that's only begun,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1436,Kurtis Blow,America,1980-09-29,America,"Don’t you love America, my favorite country?",I've been to the mountaintop,"Don’t you love America, land of democracy?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1437,Kurtis Blow,America,1980-09-29,America,"Don’t you love America, land of democracy?","Don’t you love America, my favorite country?",,"{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.802}",0.59,0.0,0.41,0.802
1438,Kurtis Blow,America,1980-09-29,America,"Don’t you love America, my favorite country?",,"Don’t you love America, land of democracy?","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0
1439,Kurtis Blow,America,1980-09-29,America,"Don’t you love America, land of democracy?","Don’t you love America, my favorite country?",,"{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.802}",0.59,0.0,0.41,0.802
1440,Kurtis Blow,America,1980-09-29,America,"Don’t you love America, my favorite country? Germany",,"Don’t you love America, Russia land of democracy? Africa","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0
1442,Kurtis Blow,America,1980-09-29,America,"Don’t you love America, Russia land of democracy? Africa","Don’t you love America, my favorite country? Germany",War,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.802}",0.545,0.0,0.455,0.802
1447,Kurtis Blow,America,1980-09-29,New York City,There’s New York City and Kalamazoo,"Baseball, hot dogs and all the cheap thrills","White, black, red, yellow and of course the Jew","{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}",0.263,0.0,0.737,0.3612
1453,Kurtis Blow,America,1980-09-29,America,America,,Unity,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0
1454,Kurtis Blow,America,1980-09-29,America,America,Unity,Peace,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1457,Kurtis Blow,Ego Trip,1983-01-01,Bronx,Homeboy! The Bronx!,"The grandmaster, the Grandmaster Flash!","I'm on an ego trip, I'm on an ego trip, I'm on an ego trip","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1463,Kurtis Blow,Kingdom Blow,1981-01-01,Bronx,Up in the Bronx,*cut and scratched*,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1464,Kurtis Blow,Nervous,1984-01-01,New York,They're laughin' from New York to the coast,The legal's system's just a joke,They bargain on the plea,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.296}",0.355,0.0,0.645,0.296
1466,Kurtis Blow,Nervous,1984-01-01,Harlem,"Nervous, nervous (Wo!)Embed"", ""One-Two-Five (Main Street, Harlem, USA) LyricsCome with me and let's take a trip","Nervous, nervous (Nuh-nervous)",Where the scene is tough and the folks are hip,"{'neg': 0.808, 'neu': 0.192, 'pos': 0.0, 'compound': -0.4939}",0.0,0.808,0.192,-0.4939
1468,Kurtis Blow,Nervous,1984-01-01,Harlem,"Main Street, Harlem, USA!",The hottest spot to work and play,,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.34}",0.286,0.0,0.714,0.34
1470,Kurtis Blow,Nervous,1984-01-01,Harlem,Have all come for Harlem's thunder,"Dionne Warwick, Stevie Wonder",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1471,Kurtis Blow,Nervous,1984-01-01,Harlem,All came to Harlem to do their thing,And Doctor Martin Luther King,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1472,Kurtis Blow,Nervous,1984-01-01,Harlem,Spent their time in Harlem Town,Bill Bojangles and James Brown,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1476,Kurtis Blow,Party Time,1985-01-01,Harlem,A place called Harlem was my home,I'm Kurtis Blow on the microphone,"I was rocking one day, it started to shake","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1479,Kurtis Blow,Respect To The King,1986-01-01,Manhattan,'Cause I'm a FRESH KID and I come from Manhattan,"I'll tell you one thing NOW, I'll kick in your chest",Making out with the ladies in the sheets and satin,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1480,Kurtis Blow,Respect To The King,1986-01-01,Bronx,"Then I go downtown, then I chill in the Bronx",Making out with the ladies in the sheets and satin,'Cause I'm making CASH money doing what I want,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1482,Kurtis Blow,Starlife,1981-01-01,New York,Got a townhouse back in old New York,With a great big swimming pool,Where he used to go to school,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.506,0.0,0.494,0.6249
1484,Kurtis Blow,Still on the Scene,1983-01-01,New York,Me in New York twenty six years ago,You think I am but they know because they had,And my mom said when I was an embryo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1490,Kurtis Blow,Take It to the Bridge,1983-01-01,New York,Take it to New York,Take it to the bridge,Take it to Chicago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1500,Kurtis Blow,The Bronx,1981-01-01,Bronx,In the boogie-down Bronx town in New York City,Our parties are def and the girlies are pretty,Like the sun will shine in the summertime,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.7096}",0.457,0.0,0.543,0.7096
1501,Kurtis Blow,The Bronx,1981-01-01,New York City,In the boogie-down Bronx town in New York City,Our parties are def and the girlies are pretty,Like the sun will shine in the summertime,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.7096}",0.457,0.0,0.543,0.7096
1503,Kurtis Blow,The Bronx,1981-01-01,Bronx,Called the Bronx,The place where rap started in the days of old,The Bronx,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1504,Kurtis Blow,The Bronx,1981-01-01,Bronx,The Bronx,Called the Bronx,The Bronx,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1505,Kurtis Blow,The Bronx,1981-01-01,Bronx,The Bronx,The Bronx,Hey Moe!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1506,Kurtis Blow,The Bronx,1981-01-01,Bronx,The Bronx is the place where the Yankees play,Coitainly!,We fans have the fever to the break of day,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
1508,Kurtis Blow,The Bronx,1981-01-01,Bronx,The Bronx is the place where I reside,Bronx River Casanovas and the Ninth Crew. (called),I'll be a Bronx boy 'til the day I die,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
