,Artist,Song Name,release date,GPE,Line,Line Before,Line After,polarity,pos,neg,neu,compound
93,Nicki Minaj,Dirty Money (Freestyle),2008-11-14,Chinatown,"Like Chinatown, bitches better bow down (yes)","She run three rounds, I'mma need a hundred thou' (uh)","Oh, you ain't know? Bet y'all bitches know now (woo)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
94,Nicki Minaj,Dirty Money (Freestyle),2008-11-14,Queens,"Queens, little mama, Gabbana, some nice pumps (yeah)Embed"", 'Doin’ It Well Lyrics[Intro: Jadakiss]","Bum-stickity-bum, let me tell em' where I'm from (woo)","Ay yo yo yo, ay yo WHAT!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
95,Nicki Minaj,Dirty Money (Freestyle),2008-11-14,Queens,"I represent Queens, he was raised down in Yonkers",Doin\' it and doin\' it and doin\' it well,Doin\' it and doin\' it and doin\' it well,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}",0.208,0.0,0.792,0.2732
96,Nicki Minaj,Easy,2018-08-10,New York,New York City,(What the hell are you waiting for?),,"{'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.6808}",0.0,0.434,0.566,-0.6808
97,Nicki Minaj,Easy,2018-08-10,New York City,New York City,(What the hell are you waiting for?),,"{'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.6808}",0.0,0.434,0.566,-0.6808
98,Nicki Minaj,Easy,2018-08-10,Queens,Straight from the streets of Queens and yet it seems,"Know when I paid my dues, that I would aim for you","The only thing they know, is that I push a beam","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
99,Nicki Minaj,Favorite,2018-08-10,Queens,"Meet me out in Queens, where the city want a sundown","Scoop me in the truck, late-night on a humble","You could put your gun down, you could have fun now","{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.1531}",0.186,0.0,0.814,0.1531
100,Nicki Minaj,Favorite (Target Version),2008-04-12,Queens,"Meet me out in Queens, where the city want a sundown","Scoop me in the truck, late-night on a humble","You could put your gun down, you could have fun now","{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.1531}",0.186,0.0,0.814,0.1531
101,Nicki Minaj,Finale,,Harlem,"Now we gonna take it to Harlem, Millzy",[Transition: T-Streets],,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
102,Nicki Minaj,Finale,,New York,"Did it all for New York and this love, no need to thank me","Navy on Navy Camaro, I did it all for the Yankees (L\'eggo)",Millz!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
103,Nicki Minaj,Finale,,West Coast,Now we gonna take to the West Coast,[Transition: T-Streets],Tyga-Tyga,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
104,Nicki Minaj,Finale,,Harlem,"Millz Harlem, Chuck wild, Twist Dallas","Streets bad, Tyga ill, Drake magic","And Mack Maine rap, sing and manage, ugh!","{'neg': 0.612, 'neu': 0.388, 'pos': 0.0, 'compound': -0.743}",0.0,0.612,0.388,-0.743
105,DMX,Against The Grain,,New York,Takin\' back for niggas in New York and how they told me so,It\'s just real fucked up when your man tries to diss you,"Now I got to knock his boots, he owes me dough","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.6597}",0.0,0.286,0.714,-0.6597
